Title,Alternative Title,Description,Language,Display Note,B1G Language,Creator,Creator ID,Publisher,Provider,Resource Class,Resource Type,Subject,Theme,Keyword,Temporal Coverage,Date Issued,Index Year,Date Range,Spatial Coverage,Geometry,Bounding Box,Centroid,Georeferenced,GeoNames,Relation,Member Of,Is Part Of,Source,Is Version Of,Replaces,Is Replaced By,Rights,Rights Holder,License,Access Rights,Format,File Size,WxS Identifier,B1G Image,ID,Identifier,Code,Accrual Method,Accrual Periodicity,Date Accessioned,Date Retired,Status,Publication State,Suppressed Record,Child Record,Mediator,Access,Created At,Updated At,Documentation,Download,FeatureServer,FGDC,Harvard Download,HTML,IIIF,ImageServer,Information,ISO19139,Manifest,MapServer,MODS,oEmbed,Index Map,TileServer,WCS,WFS,WMS,COG,PMTiles,XYZ Tiles,WMTS,TileJSON,Tile Map Service
"6-Digit Accounting Units, Hydrologic Units: Indiana","",WATERSHEDS_HUC06_USGS_IN is a polygon shapefile showing the boundaries of accounting units (HUA) in Indiana. Accounting units are noted by a 6-digit hydrologic unit. Actual hydrologic units often extend beyond the state and county boundaries.,eng,"","",Bernardin-Lochmueller & Associates|United States Geological Survey (USGS),null|null,"",IndianaMAP,Datasets|Web services,Polygon data|Vector data,State government records,Inland waters,Hydrology|2022-creator-sprint,2002,2002-11-00,2002,2002-2002,Indiana,"POLYGON((-88.1607 41.7753, -84.6882 41.7753, -84.6882 37.7554, -88.1607 37.7554, -88.1607 41.7753))","-88.1607,37.7554,-84.6882,41.7753","39.76535,-86.42445000000001",false,"","",ba5cc745-21c5-4ae9-954b-72dd8db6815a,09a-01,"","","","","","","",Public,Shapefile,,,http://maps.indiana.edu/images/Hydrology/Watersheds_HUC06.png,68a6d506-b4bc-4ae8-ab50-9fa44954583e,68a6d506-b4bc-4ae8-ab50-9fa44954583e,09a-01,,,2019-03-28,,Active,unpublished,false,false,"",,2021-05-07 17:56:27 -0500,2023-01-26 11:55:52 -0600,,http://maps.indiana.edu/download/Hydrology/Watersheds_HUC06.zip,,,,,,,http://maps.indiana.edu/previewMaps/Hydrology/Watersheds_HUC06.html,,,,,,,,,,,,,,,,
Abandoned Quarries: Indiana,"",ArcGIS Feature Layer - point dataset,eng,"","",Indiana. Geological Survey,fst00537164,"",IndianaMAP,Datasets|Web services,Point data|Vector data,State government records,Geology,Geology|2022-creator-sprint,2003,2003-05-30,2003,2003-2003,Indiana,"POLYGON((-87.9324 39.8521, -86.2569 39.8521, -86.2569 37.8626, -87.9324 37.8626, -87.9324 39.8521))","-87.9324,37.8626,-86.2569,39.8521","38.85735,-87.09465",false,"","",ba5cc745-21c5-4ae9-954b-72dd8db6815a,09a-01,"","","","","","","",Public,Shapefile,,,http://maps.indiana.edu/images/Geology/Industrial_Minerals_Quarries_Abandoned.png,4669301e-b4b2-4c8b-bf40-01b968a2865b,4669301e-b4b2-4c8b-bf40-01b968a2865b,09a-01,,,2019-03-28,,Active,unpublished,false,false,"",,2021-05-07 17:56:21 -0500,2023-01-26 11:55:52 -0600,,http://maps.indiana.edu/download/Geology/Industrial_Minerals_Quarries_Abandoned.zip,,,,,,,http://maps.indiana.edu/previewMaps/Geology/Industrial_Minerals_Quarries_Abandoned.html,,,,,,,,,,,,,,,,
Abandoned Sand and Pits: Indiana,"","SAND_GRAVEL_PITS_ABANDONED_IN is a point shapefile that shows the locations of abandoned sand and gravel pits in Indiana. It is derived from an unpublished memorandum report of the Indiana Geological Survey (IGS): Hasenmueller, W. A., 2001, Preliminary database of abandoned sand and gravel pits, Coal and Industrial Minerals Section Memorandum Report 98, Indiana Geological Survey, Bloomington, 3 p., and a CD-ROM.  NOTE: This shapefile includes 2,275 of 2,515 sand and gravel pit locations from the IGS Abandoned Sand and Gravel Pit Database (titled ""PrelimSdGvDB.mdb"") that are located in Indiana and for which the documented location is to the nearest quarter quarter section. The 240 pit locations that were excluded did not have adequate quarter quarter section information that could be processed by Geographix software.  The following discussion is derived from Memorandum Report 98: ""The Microsoft Access 2000 database PrelimSdGvDB.mdb on the enclosed CD contains information about abandoned sand and gravel pits in Indiana. The data contained in this database represents a preliminary stage in a comprehensive compilation of abandoned sand and gravel pit data stored in the files of the Mineral Resources Section of the Indiana Geological Survey (IGS). The data were taken from a single Mineral Resources Section file titled ""DATA TABULATION CARDS: Sand and Gravel Pits"" which documents abandoned sand and gravel pits examined by IGS geologists in the late 1940s and early 1950s. Although these data have been assembled into a simple flat-file database they should not be regarded as a final compilation of the above mentioned file nor should they be regarded as a compilation of all abandoned sand and gravel pit information filed in IGS Mineral Resources Section files. The Mineral Resources Section is providing this preliminary database in response to a request from the Energy Resources Section of the IGS.""",eng,"","",Indiana. Geological Survey,fst00537164,"",IndianaMAP,Datasets|Web services,Point data|Vector data,State government records,Geology,Geology|2022-creator-sprint,2003,2003-08-13,2003,2003-2003,"Indiana|West Lafayette, Indiana","POLYGON((-88.0339 41.7679, -84.739 41.7679, -84.739 37.885, -88.0339 37.885, -88.0339 41.7679))","-88.0339,37.885,-84.739,41.7679","39.826449999999994,-86.38645",false,"","",ba5cc745-21c5-4ae9-954b-72dd8db6815a,09a-01,"","","","","","","",Public,Shapefile,,,http://maps.indiana.edu/images/Geology/Industrial_Minerals_Sand_Gravel_Pits_Abandoned.png,e776f983-39be-4417-81f4-9e91a6501c75,e776f983-39be-4417-81f4-9e91a6501c75,09a-01,,,2019-03-28,,Active,unpublished,false,false,"",,2021-05-07 17:56:21 -0500,2023-01-26 11:55:52 -0600,,http://maps.indiana.edu/download/Geology/Industrial_Minerals_Sand_Gravel_Pits_Abandoned.zip,,,,,,,http://maps.indiana.edu/previewMaps/Geology/Industrial_Minerals_Sand_Gravel_Pits_Abandoned.html,,,,,,,,,,,,,,,,
Active and Abandoned Rail System: Indiana,"","RAIL_SYSTEM_ACTIVE_ABANDONED_INDOT_IN is a line shapefile that contains all active and abandoned rail lines in Indiana, provided by personnel of Indiana Department of Transportation (INDOT), Business Information and Technology Systems, GIS Mapping. The data set provided by INDOT was in an ESRI shapefile format and was named ""RAILROADS_2005.""  The following is excerpted from the metadata provided by INDOT for the source shapefile RAILROADS_2005.SHP:  ""RAILROADS_2205.SHP is a line shapefile deliniating the railroad tracks within the State of Indiana. The dataset was generated at a scale of 1:1200.""",eng,"","","Indiana Department of Transportation, Business Information and Technology Systems, GIS Mapping",null,"",IndianaMAP,Datasets|Web services,Line data|Vector data,Railroads|State government records,Transportation,Railroads|2022-creator-sprint,2006,2006-09-13,2006,2006-2006,Indiana,"POLYGON((-88.0784 41.7797, -84.7328 41.7797, -84.7328 37.8287, -88.0784 37.8287, -88.0784 41.7797))","-88.0784,37.8287,-84.7328,41.7797","39.804199999999994,-86.40559999999999",false,"","",ba5cc745-21c5-4ae9-954b-72dd8db6815a,09a-01,"","","","","","","",Public,Shapefile,,,http://maps.indiana.edu/images/Infrastructure/Railroads_Active_Abandoned_INDOT.png,3020c203-5325-4bec-92e3-4a16e267c14e,3020c203-5325-4bec-92e3-4a16e267c14e,09a-01,,,2019-03-28,,Active,unpublished,false,false,"",,2021-05-07 17:56:16 -0500,2023-01-26 11:55:52 -0600,,http://maps.indiana.edu/download/Infrastructure/Railroads_Active_Abandoned_INDOT.zip,,,,,,,http://maps.indiana.edu/previewMaps/Infrastructure/Railroads_Active_Abandoned_INDOT.html,,,,,,,,,,,,,,,,
Active Mines in the Danville Coal Member: Indiana,"","COAL_MINE_ACTIVE_DANVILLE_IN_2010 is a polygon-based ESRI ArcGIS shapefile that shows the location and extent of active surface and underground coal mines in the coal region of west-central and southwestern Indiana that mine the Danville Coal Member. COAL_MINE_ACTIVE_DANVILLE_IN_2010 is attributed to allow the mine polygons to be differentiated based on mine number, mine name, county name, and the mine owner.",eng,"","",Indiana. Geological Survey,fst00537164,"",IndianaMAP,Datasets|Web services,Polygon data|Vector data,State government records,Geology,|2022-creator-sprint,2010,2011-10-10,2010,2010-2010,Indiana,"POLYGON((-87.5369 40.2158, -86.504 40.2158, -86.504 37.8483, -87.5369 37.8483, -87.5369 40.2158))","-87.5369,37.8483,-86.504,40.2158","39.03205,-87.02045000000001",false,"","",ba5cc745-21c5-4ae9-954b-72dd8db6815a,09a-01,"","","","","","","",Public,Shapefile,,,http://maps.indiana.edu/images/Geology/Coal_Danville_Mines_Active.png,c0de6ff7-aa4e-40e3-8a89-28f12d09fbd9,c0de6ff7-aa4e-40e3-8a89-28f12d09fbd9,09a-01,,,2019-03-28,,Active,unpublished,false,false,"",,2021-05-07 17:56:27 -0500,2023-01-26 11:55:52 -0600,,http://maps.indiana.edu/download/Geology/Coal_Danville_Mines_Active.zip,,,,,,,http://maps.indiana.edu/layerGallery.html,,,,,,,,,,,,,,,,
Active Mines in the Hymera Coal Member: Indiana,"","COAL_MINE_ACTIVE_HYMERA_IN_2014 is a polygon-based ESRI ArcGIS shapefile that shows the location and extent of active surface and underground coal mines in the coal region of west-central and southwestern Indiana that mine the Hymera Coal Member. COAL_MINE_ACTIVE_HYMERA_IN_2014 is attributed to allow the mine polygons to be differentiated based on mine number, mine name, county name, and the mine owner.",eng,"","",Indiana. Geological Survey,fst00537164,"",IndianaMAP,Datasets|Web services,Polygon data|Vector data,State government records,Geology,|2022-creator-sprint,2014,2014-04-11,2014,2014-2014,Indiana,"POLYGON((-87.5369 40.2158, -86.504 40.2158, -86.504 37.8483, -87.5369 37.8483, -87.5369 40.2158))","-87.5369,37.8483,-86.504,40.2158","39.03205,-87.02045000000001",false,"","",ba5cc745-21c5-4ae9-954b-72dd8db6815a,09a-01,"","","","","","","",Public,Shapefile,,,http://maps.indiana.edu/images/Geology/Coal_Hymera_Mines_Active.png,4587cf27-fd10-4d55-bd8c-d13ae5485cfb,4587cf27-fd10-4d55-bd8c-d13ae5485cfb,09a-01,,,2019-03-28,,Active,unpublished,false,false,"",,2021-05-07 17:56:27 -0500,2023-01-26 11:55:52 -0600,,http://maps.indiana.edu/download/Geology/Coal_Hymera_Mines_Active.zip,,,,,,,http://maps.indiana.edu/layerGallery.html,,,,,,,,,,,,,,,,
Address Points Maintained by County Agencies: Indiana,"","COUNTY_ADDRESS_POINTS_IDHS_IN is an ESRI Geodatabase point feature class that contains address points maintained by county agencies in Indiana, provided by personnel of Indiana Department of Homeland Security (IDHS) as of June 29, 2009, and subsequently updated on September 30, 2009, December 2, 2009, December 28, 2009, February 2, 2010, March 5, 2010, April 6, 2010, October 11, 2010, November 19, 2010, March 22, 2011, September 8, 2011, January 30, 2012, June 8, 2012, August 27, 2012, April 27, 2013, November 22, 2013, January 19, 2014, October 14, 2014, June 22, 2015, and December 17, 2015. This data set was provided by IDHS in ESRI feature class and was named ""County_Point_Address."" This data set was compiled by IDHS as part of the IndianaMap Data Sharing Initiative between IGIC, Indiana Office of Technology (IOT), Indiana Geographic Information Office (GIO), Indiana Department of Homeland Security (IDHS), Indiana Geological Survey (IGS) and participating Indiana counties to provide the most accurate framework data (including address points, street centerlines, land parcels, and governmental boundaries) for the citizens of Indiana. More information is available at the following Web URL:  http://www.igic.org/news/index.php?itemid=265",eng,"","",Indiana Department of Homeland Security,null,"",IndianaMAP,Datasets|Web services,Point data|Vector data,State government records,Location,|2022-creator-sprint,2015,2015-12-17,2015,2015-2015,"Indiana|West Lafayette, Indiana","POLYGON((-88.0929 41.5403, -84.7052 41.5403, -84.7052 37.7876, -88.0929 37.7876, -88.0929 41.5403))","-88.0929,37.7876,-84.7052,41.5403","39.66395,-86.39905",false,"","",ba5cc745-21c5-4ae9-954b-72dd8db6815a,09a-01,"","","","","","","",Public,Shapefile,,,http://maps.indiana.edu/images/Infrastructure/Streets_Address_Points_IDHS.png,86f9b2be-ddc6-4fd7-a77f-9c446b40d916,86f9b2be-ddc6-4fd7-a77f-9c446b40d916,09a-01,,,2019-03-28,,Active,unpublished,false,false,"",,2021-05-07 17:56:21 -0500,2023-01-26 11:55:52 -0600,,https://maps.indiana.edu/download/Infrastructure/Streets_Address_Points_IGIO.zip,,,,,,,,,,,,,,,,,,,,,,,
Agriculture Census: Indiana,"","USGS National Atlas metadata states  ""This data set portrays the National Agricultural Statistics Service, U.S. Department of Agriculture's 1997 Census data for the United States, presented by county.  There are 25 categories of data which include information about farms, crops, livestock, values of products, and farm operator characteristics.""",eng,"","",Bernardin-Lochmueller & Associates|United States Geological Survey (USGS),null|null,"",IndianaMAP,Datasets|Web services,Polygon data|Vector data,State government records,Agriculture,Agriculture|2022-creator-sprint,1997,2003-01-28,1997,1997-1997,"Indiana|West Lafayette, Indiana","POLYGON((-88.1607 41.7753, -84.6882 41.7753, -84.6882 37.7554, -88.1607 37.7554, -88.1607 41.7753))","-88.1607,37.7554,-84.6882,41.7753","39.76535,-86.42445000000001",false,"","",ba5cc745-21c5-4ae9-954b-72dd8db6815a,09a-01,"","","","","","","",Public,Shapefile,,,http://maps.indiana.edu/images/Environment/Agriculture_Census.png,f082acb1-b01e-4a08-9126-fd62a23fd9aa,f082acb1-b01e-4a08-9126-fd62a23fd9aa,09a-01,,,2019-03-28,,Active,unpublished,false,false,"",,2021-05-07 17:56:27 -0500,2023-01-26 11:55:52 -0600,,http://maps.indiana.edu/download/Environment/Agriculture_Census.zip,,,,,,,http://maps.indiana.edu/previewMaps/Environment/Agriculture_Census.html,,,,,,,,,,,,,,,,
Alternative Fuel Retail Fueling Sites: Indiana,"","Alternative fuel retail fueling sites in the state of Indiana. Alternative fuels are described as biodiesel (B2, B5, B10, and B20) as well as ethanol (E85).",eng,"","",Indiana. Geological Survey,fst00537164,"",IndianaMAP,Datasets|Web services,Point data|Vector data,State government records,Location,Fuel|2022-creator-sprint,2006,2006-09-01,2006,2006-2006,Indiana,"POLYGON((-87.6063 41.7431, -84.8382 41.7431, -84.8382 38.1476, -87.6063 38.1476, -87.6063 41.7431))","-87.6063,38.1476,-84.8382,41.7431","39.94535,-86.22225",false,"","",ba5cc745-21c5-4ae9-954b-72dd8db6815a,09a-01,"","","","","","","",Public,Shapefile,,,http://maps.indiana.edu/images/Infrastructure/Energy_Alternative_Fuel_Sites.png,f5a5efc0-e356-401b-bd85-047e8dcda0d2,f5a5efc0-e356-401b-bd85-047e8dcda0d2,09a-01,,,2019-03-28,,Active,unpublished,false,false,"",,2021-05-07 17:56:21 -0500,2023-01-26 11:55:52 -0600,,http://maps.indiana.edu/download/Infrastructure/Energy_Alternative_Fuel_Sites.zip,,,,,,,http://maps.indiana.edu/previewMaps/Infrastructure/Energy_Alternative_Fuel_Sites.html,,,,,,,,,,,,,,,,
American Indian Ethnicity: Indiana,"","This file consists of ancestry data (first ancestry reported) for Indiana county subdivisions (legal townships,",eng,"","",United States. Bureau of the Census,fst00580803,"",IndianaMAP,Datasets|Web services,Polygon data|Vector data,State government records,Society,Census|Demographics|2022-creator-sprint,2005,2005-11-08,2005,2005-2005,Indiana,"POLYGON((-88.0972 41.7734, -84.6884 41.7734, -84.6884 37.7606, -88.0972 37.7606, -88.0972 41.7734))","-88.0972,37.7606,-84.6884,41.7734","39.766999999999996,-86.3928",false,"","",ba5cc745-21c5-4ae9-954b-72dd8db6815a,09a-01,"","","","","","","",Public,Shapefile,,,http://maps.indiana.edu/images/Demographics/Ethnicity_American_Indian.png,77cb75d2-a63d-46fa-b512-012902a99d5f,77cb75d2-a63d-46fa-b512-012902a99d5f,09a-01,,,2019-03-28,,Active,unpublished,false,false,"",,2021-05-07 17:56:27 -0500,2023-01-26 11:55:53 -0600,,http://maps.indiana.edu/download/Demographics/Ethnicity_American_Indian.zip,,,,,,,http://maps.indiana.edu/previewMaps/Demographics/Ethnicity_American_Indian.html,,,,,,,,,,,,,,,,
