id,owner,created,modified,title,type,description,tags,snippet,categories,accessInformation,licenseInfo,culture,url,access,license,source,extent,industries
"a7d3df435eae42388d7de39a5ff4e74e","IndianaMap","Fri, 03 Nov 2023 14:06:12 GMT","Fri, 03 Nov 2023 14:08:45 GMT","Indiana Current Imagery WMS","WMS","The State of Indiana Geographic Information Office (GIO) has published a State-wide Digital Aerial Imagery Catalog consisting of orthoimagery files from 2016-2019 and 2021 – 2022 in Cloud-Optimized GeoTIFF (COG) format on the AWS Registry of Open Data Account. These COG formatted files support the dynamic imagery services available from the GIO ESRI-based imagery solution. The Open Data on AWS is a repository of publicly available datasets for access from AWS resources. These datasets are owned and maintained by the Indiana GIO. These images are licensed by Creative Commons 0 (CC0). Cloud Optimized GeoTIF behaves as a GeoTIFF in all products; however, the optimization becomes apparent when incorporating them into web services.","Imagery,Orthoimagery","This dataset is a WMS service containing tiles of the most current available imagery collected for the IGIO.","","Indiana Geographic Information Office (IGIO)","Access to Indiana Geographic Information Office Orthoimagery is governed by Creative Commons 0 (CC0) LIMITATION OF WARRANTIES AND LIABILITY - This product is provided ""AS IS"", without any other warranties or conditions, expressed or implied, including, but not limited to, warranties for product quality, or suitability to a particular purpose or use. The risk or liability resulting from the use of this product is assumed by the user. The Indiana Geographic Information Office shares no liability with product users indirect, incidental, special, or consequential damages whatsoever, including, but not limited to, loss of revenue or profit, lost or damaged data or other commercial or economic loss. The Indiana Geographic Information Office is not responsible for claims by a third party.","en-us","https://di-ingov.img.arcgis.com/arcgis/services/DynamicWebMercator/Indiana_Current_Imagery/ImageServer/WMSServer","public","CC0-1.0","IndianaMap","-88.1297,37.7558,-84.6986,41.8131",""
"ee1ad6364add45e2989e18ca259fb1e1","IndianaMap","Mon, 26 Jun 2023 15:19:57 GMT","Wed, 10 Apr 2024 12:02:54 GMT","Indiana 2016 Imagery","Image Service","The State of Indiana Geographic Information Office (GIO) has published a State-wide Digital Aerial Imagery Catalog consisting of orthoimagery files from 2016-2019 and 2021 – 2022 in Cloud-Optimized GeoTIFF (COG) format on the AWS Registry of Open Data Account. These COG formatted files support the dynamic imagery services available from the GIO ESRI-based imagery solution. The Open Data on AWS is a repository of publicly available datasets for access from AWS resources. These datasets are owned and maintained by the Indiana GIO. These images are licensed by Creative Commons 0 (CC0). Cloud Optimized GeoTIF behaves as a GeoTIFF in all products; however, the optimization becomes apparent when incorporating them into web services.","Imagery,Orthoimagery,Natural Color,Color Infrared,CIR,NDVI,Normalized Difference Vegetation Index","This dataset contains tiles of imagery collected for the IGIO in 2016.","","Indiana Geographic Information Office (IGIO)","Access to Indiana Geographic Information Office Orthoimagery is governed by Creative Commons 0 (CC0) LIMITATION OF WARRANTIES AND LIABILITY - This product is provided ""AS IS"", without any other warranties or conditions, expressed or implied, including, but not limited to, warranties for product quality, or suitability to a particular purpose or use. The risk or liability resulting from the use of this product is assumed by the user. The Indiana Geographic Information Office shares no liability with product users indirect, incidental, special, or consequential damages whatsoever, including, but not limited to, loss of revenue or profit, lost or damaged data or other commercial or economic loss. The Indiana Geographic Information Office is not responsible for claims by a third party.","en-us","https://di-ingov.img.arcgis.com/arcgis/rest/services/DynamicWebMercator/Indiana_2016_Imagery/ImageServer","public","CC0-1.0","IndianaMap","-9679356.4983,4570929.1579,-9524401.812,5128147.4967",""
"d15b57d4d7274c7b8ee300a1c63d788d","IndianaMap","Mon, 26 Jun 2023 14:15:06 GMT","Wed, 10 Apr 2024 12:03:22 GMT","Indiana 2017 Imagery","Image Service","The State of Indiana Geographic Information Office (GIO) has published a State-wide Digital Aerial Imagery Catalog consisting of orthoimagery files from 2016-2019 and 2021 – 2022 in Cloud-Optimized GeoTIFF (COG) format on the AWS Registry of Open Data Account. These COG formatted files support the dynamic imagery services available from the GIO ESRI-based imagery solution. The Open Data on AWS is a repository of publicly available datasets for access from AWS resources. These datasets are owned and maintained by the Indiana GIO. These images are licensed by Creative Commons 0 (CC0). Cloud Optimized GeoTIF behaves as a GeoTIFF in all products; however, the optimization becomes apparent when incorporating them into web services.","Imagery,Orthoimagery,Natural Color,Color Infrared,CIR,NDVI,Normalized Difference Vegetation Index","This dataset contains tiles of imagery collected for the IGIO in 2017.","","Indiana Geographic Information Office (IGIO)","Access to Indiana Geographic Information Office Orthoimagery is governed by Creative Commons 0 (CC0) LIMITATION OF WARRANTIES AND LIABILITY - This product is provided ""AS IS"", without any other warranties or conditions, expressed or implied, including, but not limited to, warranties for product quality, or suitability to a particular purpose or use. The risk or liability resulting from the use of this product is assumed by the user. The Indiana Geographic Information Office shares no liability with product users indirect, incidental, special, or consequential damages whatsoever, including, but not limited to, loss of revenue or profit, lost or damaged data or other commercial or economic loss. The Indiana Geographic Information Office is not responsible for claims by a third party.","en-us","https://di-ingov.img.arcgis.com/arcgis/rest/services/DynamicWebMercator/Indiana_2017_Imagery/ImageServer","public","CC0-1.0","IndianaMap","-9796320.4984,4591702.3761,-9423007.8746,5129362.5742",""
"9f6c58c3d2134b7ea4fecca6635cb621","IndianaMap","Wed, 14 Feb 2024 14:59:54 GMT","Wed, 10 Apr 2024 11:54:20 GMT","Indiana 2005 Imagery","Image Service","The Indiana 2005 digital orthoimagery was collected during March and April leaf-off conditions at a minimum resolution of 1-foot statewide (the following 13 counties were collected at 6-inch, Dubois, Elkhart, Floyd, Hamilton, Kosciusko, Lake, LaPorte, Marion, Monroe, Perry, Steuben, Tippecanoe, Vanderburgh).  Data are delivered in 4000'x4000 tiles' and converted to cloud-optimized GeoTIF (COG).  Access to Indiana Geographic Information Office Orthoimagery is governed by Creative Commons 0 (CC0).","Imagery,Orthoimagery,Natural Color","This dataset contains tiles of orthoimagery collected in 2005.","","Indiana Geographic Information Office (IGIO)","Access to Indiana Geographic Information Office Orthoimagery is governed by Creative Commons 0 (CC0) LIMITATION OF WARRANTIES AND LIABILITY - This product is provided ""AS IS"", without any other warranties or conditions, expressed or implied, including, but not limited to, warranties for product quality, or suitability to a particular purpose or use. The risk or liability resulting from the use of this product is assumed by the user. The Indiana Geographic Information Office shares no liability with product users indirect, incidental, special, or consequential damages whatsoever, including, but not limited to, loss of revenue or profit, lost or damaged data or other commercial or economic loss. The Indiana Geographic Information Office is not responsible for claims by a third party.","en-us","https://di-ingov.img.arcgis.com/arcgis/rest/services/DynamicWebMercator/Indiana_2005_Imagery/ImageServer","public","CC0-1.0","IndianaMap","-9815101.1826,4545378.7374,-9422894.731,5130255.1408",""
"4cdb8cc54cdd4d3d9f37af4d5a9eaf8e","IndianaMap","Mon, 26 Jun 2023 14:06:25 GMT","Wed, 10 Apr 2024 12:05:53 GMT","Indiana 2022 Imagery","Image Service","The State of Indiana Geographic Information Office (GIO) has published a State-wide Digital Aerial Imagery Catalog consisting of orthoimagery files from 2016-2019 and 2021 – 2022 in Cloud-Optimized GeoTIFF (COG) format on the AWS Registry of Open Data Account. These COG formatted files support the dynamic imagery services available from the GIO ESRI-based imagery solution. The Open Data on AWS is a repository of publicly available datasets for access from AWS resources. These datasets are owned and maintained by the Indiana GIO. These images are licensed by Creative Commons 0 (CC0). Cloud Optimized GeoTIF behaves as a GeoTIFF in all products; however, the optimization becomes apparent when incorporating them into web services.","Imagery,Orthoimagery,Natural Color,Color Infrared,CIR,NDVI,Normalized Difference Vegetation Index","This dataset contains tiles of imagery collected for the IGIO in 2022.","","Indiana Geographic Information Office (IGIO)","Access to Indiana Geographic Information Office Orthoimagery is governed by Creative Commons 0 (CC0) LIMITATION OF WARRANTIES AND LIABILITY - This product is provided ""AS IS"", without any other warranties or conditions, expressed or implied, including, but not limited to, warranties for product quality, or suitability to a particular purpose or use. The risk or liability resulting from the use of this product is assumed by the user. The Indiana Geographic Information Office shares no liability with product users indirect, incidental, special, or consequential damages whatsoever, including, but not limited to, loss of revenue or profit, lost or damaged data or other commercial or economic loss. The Indiana Geographic Information Office is not responsible for claims by a third party.","en-us","https://di-ingov.img.arcgis.com/arcgis/rest/services/DynamicWebMercator/Indiana_2022_Imagery/ImageServer","public","CC0-1.0","IndianaMap","-9579276.5063,4603313.6942,-9435376.5571,5127382.3759",""
"bbdfa0fe9a9c4fdbbff7e6d4500757e2","IndianaMap","Fri, 19 Aug 2022 12:18:29 GMT","Thu, 01 Feb 2024 15:16:43 GMT","Danville Coal Member Elevation 2011","Feature Service","In the past a series of reports on coal resources of selected counties in Indiana was published  as part of the Special Report series of the Indiana Geological Survey (IGS). These reports included maps  showing elevation of the Danville Coal Member (Dugger Formation, Pennsylvanian). The elevation  maps were based on coal-test records, mine-map notations, and interpretations of geophysical logs that  are included in the files of the Indiana Geological Survey. Different elevation ranges were  utilized in the various counties and for different purposes.  Since 1980, staff members of the Indiana Geological Survey have also collected and entered coal  resource information into the NCRDS Database as a cooperative project with the U.S. Geological Survey (USGS).  The purpose of NCRDS Database is to provide a means of rapid retrieval of point-source coal resource information,  including coal location, elevation, depth, and other parameters. Based on all available data as of October 2010, a  new map of Danville Coal Member elevation was created. It is the most current elevation map of the Danville  Coal Member. Because additional data on coal elevations are obtained by the Indiana Geological Survey on an annual  basis, interested users may wish to contact the IGS for information on these more up-to-date sources.","geoscientificInformation,energy,Indiana Geological Survey (IGS),National Coal Resources Data System (NCRDS),coal,elevation,coal elevation,geology,Danville Coal Member,Dugger Formation,Carbondale Group,Pennsylvanian,Indiana,Clay County,Daviess County,Greene County,Gibson County,Knox County,Sullivan County,Parke County,Pike County,Posey County,Vanderburgh County,Vermillion County,Vigo County,Warren County","COAL_DANVILLE_ELEVATION_NCRDS_IN_2011 was created to provide a multi-county digital shapefile, suitable for use in a GIS,
from the Indiana Geological Survey National Coal Resource Data System Database (NCRDS) a Microsoft Access database
of public, point-source coal-resource data in Indiana.","","","DATA DISCLAIMER    This data set was compiled by Indiana University, Indiana Geological  Survey, using data believed to be accurate; however, a degree of error  is inherent in all data. This product is distributed ""AS-IS"" without  warranties of any kind, either expressed or implied, including but not  limited to warranties of suitability of a particular purpose or use. No  attempt has been made in either the designed format or production of these data to  define the limits or jurisdiction of any federal, state, or local  government.    These data are intended for use only at the published scale or smaller and are for  reference purposes only. They are not to be construed as a legal document or survey  instrument. A detailed on-the-ground survey and historical analysis of a single  site may differ from this data.    CREDIT    It is requested that the Indiana Geological Survey be cited in any products generated from this data.  The following source citation should be included: COAL_DANVILLE_ELEVATION_NCRDS_IN_2011: Elevation  Ranges of the Danville Coal Member (Dugger Formation, Pennsylvanian) in Southwestern Indiana  (Indiana Geological Survey, 1:125,000, Polygon Shapefile) by Agnieszka Drobanik, 2011.    WARRANTY    Indiana University, Indiana Geological Survey warrants that the media on  which this product is stored will be free from defect in materials and  workmanship for ninety (90) days from the date of acquisition. If such a  defect is found, return the media to Publication Sales, Indiana  Geological Survey, 1001 E 10th St, Bloomington, Indiana 47405-1405,  and it will be replaced free of charge.    LIMITATION OF WARRANTIES AND LIABILITY    Except for the expressed warranty above, the product is provided ""AS IS"",  without any other warranties or conditions, expressed or implied,  including, but not limited to, warranties for product quality, or  suitability to a particular purpose or use. The risk or liability  resulting from the use of this product is assumed by the user. Indiana  University, Indiana Geological Survey shares no liability with product  users indirect, incidental, special, or consequential damages whatsoever,  including, but not limited to, loss of revenue or profit, lost or damaged  data or other commercial or economic loss. Indiana University, Indiana  Geological Survey is not responsible for claims by a third party. The  maximum aggregate liability to the original purchaser shall not exceed  the amount paid by you for the product.","en-us","https://portal.igs.indiana.edu/arcgis/rest/services/DanvilleCoalMember_Elevation_2011/FeatureServer","public","custom","Indiana Geological Survey","-88.0972116150982,37.7717604039451,-87.2226845075247,39.7495802370852",""
"c6d4f7dcbf654d358bf55d253619d8b7","IndianaMap","Fri, 10 Feb 2023 18:34:33 GMT","Thu, 01 Feb 2024 15:13:54 GMT","Voting District Boundaries 2020","Feature Service","Voting district (VTD) is a generic term adopted by the Bureau of the Census
to include the wide variety of small polling areas, such as election districts,
precincts, or wards, that State and local governments create for the purpose
of administering elections. Some States also use groupings of these entities
to define their State and local legislative districts, as well as the districts they
define for election of members to the U.S. House of Representatives. In a
nationwide cooperative program for the 1980 census, the Census Bureau
gave States the opportunity to request use of these election precinct boundaries as the boundaries of census enumeration districts (EDs) or, in some
areas, census blocks. The Census Bureau began using the term voting districts as it began planning for the 1990 census. This chapter describes the
events that led to the development of the VTD program for the 1980 and
1990 censuses, and briefly explains the operations and procedures the
Census Bureau used to implement the program.","Voting,Elections,Census,Precincts,wards","Voting district boundaries in Indiana, provided by the U.S. Census Bureau. Data originally provided in a shapefile format in November 2022 from the Census TIGER/Line site.","","United States Census Bureau (USCB)","LIMITATION OF WARRANTIES AND LIABILITY - This product is provided ""AS IS"", without any other warranties or conditions, expressed or implied, including, but not limited to, warranties for product quality, or suitability to a particular purpose or use. The risk or liability resulting from the use of this product is assumed by the user. The Indiana Geographic Information Office shares no liability with product users indirect, incidental, special, or consequential damages whatsoever, including, but not limited to, loss of revenue or profit, lost or damaged data or other commercial or economic loss. The Indiana Geographic Information Office is not responsible for claims by a third party.","en-us","https://gisdata.in.gov/server/rest/services/Hosted/Voting_Districts_of_Indiana_USCB_2020/FeatureServer","public","custom","IndianaMap","-88.1613982653032,37.75533256453352,-84.68820171661956,41.78113453853418",""
"ade487aac1444c74b2ed8b5012ab9b6c","IndianaMap","Fri, 10 Feb 2023 19:03:45 GMT","Thu, 01 Feb 2024 15:13:58 GMT","Census Public Use Microdata Areas 2010","Feature Service","For the 2010 Census, the State Data Centers (SDCs) in each state, the District of Columbia, and the
Commonwealth of Puerto Rico had the opportunity to delineate PUMAs within their state or statistically
equivalent entity. All PUMAs must nest within states and have a minimum population threshold of
100,000 persons. 2010 PUMAs consist of census tracts and cover the entirety of the United States,
Puerto Rico, Guam, and the U.S. Virgin Islands. Because they do not meet the minimum population
requirement, the Commonwealth of the Northern Mariana Islands and American Samoa do not contain
any 2010 PUMAs.","Census,PUMAs,Public Use Microdata Areas","Public use microdata areas (PUMAs) are decennial census areas that permit the tabulation and
dissemination of Public Use Microdata Sample (PUMS) data, American Community Survey (ACS) data,
and ACS period estimates. ","","United States Census Bureau (USCB)","LIMITATION OF WARRANTIES AND LIABILITY - This product is provided ""AS IS"", without any other warranties or conditions, expressed or implied, including, but not limited to, warranties for product quality, or suitability to a particular purpose or use. The risk or liability resulting from the use of this product is assumed by the user. The Indiana Geographic Information Office shares no liability with product users indirect, incidental, special, or consequential damages whatsoever, including, but not limited to, loss of revenue or profit, lost or damaged data or other commercial or economic loss. The Indiana Geographic Information Office is not responsible for claims by a third party.","en-us","https://gisdata.in.gov/server/rest/services/Hosted/Public_Use_Microdata_Areas/FeatureServer","public","custom","IndianaMap","-88.1613982653032,37.75533256453352,-84.68820171661956,41.78113453853418",""
"d442607a4d474994815eace42b09574e","IndianaMap","Tue, 18 Apr 2023 16:48:04 GMT","Thu, 01 Feb 2024 15:11:20 GMT","Navigable Waterways","Feature Service","This is a 1:2400 line coverage showing Indiana's Navigable Streams as defined and classified by the 1992 Natural Resources Commission report. This data set was updated May 2013 using the Natural Resources Commission Information Bulletin #3 posted 06/11/2008 and Jun 2017 using the Local Res NHD dataset from USGS.","DNR,Navigable Waterways","Navigable Waterway locations in Indiana.","","Indiana DNR, Natural Resources Commission","USE CONSTRAINTS Acknowledgement of the Indiana Department of Natural Resources (IDNR) as the source of the digital data must be cited on any graphic reproduction of the data. ACCESS This file is available to anyone, subject to written request. USE This data is not to be used for commercial profit. Acknowledgement of the Indiana Department of Natural Resources (IDNR) as the source of the digital data must be cited on any graphic reproduction of the data. DATA DISCLAIMER The Department of Natural Resources provides these geographic data as is and the user accepts the data “as is”, and assumes all risks associated with its use. The State believes the data to be accurate, but cannot and does not warranty it to be so. The State further makes no warranties, either expressed or implied as to any other matter whatsoever, including, without limitation, the condition of any product, or its fitness for any particular purpose. The burden for determining fitness for use lies entirely with the user. Although these data have been processed successfully using the data processing technology of the State, no warranty, expressed or implied, is made by the State regarding any capability to use these data on any other system, nor does the fact of distribution constitute or imply any such warranty. In no event shall the State have any liability whatsoever for payment of any consequential, incidental, indirect, special, or tort damages of any kind, including, but not limited to, any loss of profits arising out of or reliance on the geographic data or arising out of the delivery, installation, operation, or support by the State.","en-us","https://gisdata.in.gov/server/rest/services/Hosted/Navigable_Waterways_RO/FeatureServer","public","custom","IN DNR","-88.5731,37.3469,-84.3543,42.0765",""
"f1fe79b09a3c4580876d4ee6a3c22f5d","IndianaMap","Thu, 18 May 2023 14:42:31 GMT","Thu, 16 May 2024 15:15:33 GMT","IDNR Cemetery Sites","Feature Service","This dataset contains point locations of cemetery sites in Indiana, regardless of age, number of graves, or size of the cemetery. Is it not complete, may be inaccurate, and may be modified as new information is prepared. The absence of information in a particular location does not necessarily indicate that no graves or cemetery exists in said location. Absence of information in a particular location may be due simply to a lack of survey investigations of said locations. Also, a polygon does not indicate the exact size or shape of the cemetery.","DNR,SHAARD,DHPA,Indiana,historic,cemeteries,historic bridges,historic structures,national register","This dataset is a read-only view of cemetery locations compiled by the IDNR division of historic preservation and archaeology. Attributes include a SHAARD ID and name of the cemetery.","","Indiana Department of Natural Resources, Division of Historic Preservation and Archaeology","This dataset was compiled by the Indiana Department of Natural Resources, Division of Historic Preservation and Archaeology, using data believed to be reasonably accurate; however a degree of error is inherent in all data. This product is distributed “AS-IS” without warranties of any kind, either expressed or implied, including but not limited to warranties of suitability to a particular purpose or use. No attempt has been made in either the design or production of this data to define the limits or jurisdiction of any federal, state or local government. This data is intended for use only at the published scale or smaller and is for reference purposes only. It is not to be construed as a legal document or survey instrument. A detailed on-the-ground survey and historical analysis of a single site may differ from this data. The risk or liability resulting from the use of this product is assumed by the user. The publisher shares no liability wit product users indirect, incidental, special, or consequential damages whatsoever, including, but not limited to, loss of revenue or profit, lost or damaged data or other commercial or economic loss. The Indiana Department of Natural Resources is not responsible for claims by third party.","en-us","https://gisdata.in.gov/server/rest/services/Hosted/IDNR_Cemetery_Sites/FeatureServer","public","custom","IndianaMap","",""
